N.º,Año,Departamento,Provincia,Edad,Relacion con la víctima,Forma del feminicidio,Lugar de ocurrencia
1,2009,Lambayeque,Chiclayo,38,Pareja o ex pareja,Asfixiada o estrangulada,Casa
2,2009,Cusco,Chumbivilcas,45,Pareja o ex pareja,Acuchillada,Casa
3,2009,Lima,Lima,20,Pareja o ex pareja,Acuchillada,Casa
4,2009,Lima,Huaral,13,Familia,Asfixiada o estrangulada,Casa
5,2009,Lima,Lima,42,Pareja o ex pareja,Baleada,Casa
6,2009,Junín,Tarma,49,Pareja o ex pareja,Acuchillada,Casa
7,2009,Lima,Lima,78,Pareja o ex pareja,Asfixiada o estrangulada,Casa
8,2009,Lima,Lima,49,Pareja o ex pareja,Envenenada,Fuera de Casa
9,2009,Callao,Callao,9,Familia,Envenenada,Fuera de Casa
10,2009,Callao,Callao,11,Familia,Envenenada,Fuera de Casa
11,2009,San Martín,Rioja,47,Pareja o ex pareja,Acuchillada,Casa
12,2009,Lima,Lima,30,Pareja o ex pareja,Baleada,Fuera de Casa
13,2009,Junín,Huancayo,23,Pareja o ex pareja,Golpeada,Casa
14,2009,Huánuco,Huánuco,46,Familia,Baleada,Fuera de Casa
15,2009,Lima,Lima,40,Pareja o ex pareja,Golpeada,Fuera de Casa
16,2009,La Libertad,Julcán,32,Pareja o ex pareja,Acuchillada,Casa
17,2009,San Martín,Rioja,52,Pareja o ex pareja,Acuchillada,Casa
18,2009,Huánuco,Huánuco,26,Pareja o ex pareja,Baleada,Fuera de Casa
19,2009,Puno,San Antonio de Putina,28,Pareja o ex pareja,Acuchillada,Casa
20,2009,Lima,Lima,23,Pareja o ex pareja,Golpeada,Fuera de Casa
21,2009,Ayacucho,La Mar,27,Pareja o ex pareja,Baleada,Fuera de Casa
22,2009,Huánuco,Ambo,42,Pareja o ex pareja,Golpeada,Casa
23,2009,Lima,Lima,25,Pareja o ex pareja,Baleada,Fuera de Casa
24,2009,Lima,Lima,20,Pareja o ex pareja,Acuchillada,Casa
25,2009,Puno,Melgar,34,Pareja o ex pareja,Asfixiada o estrangulada,Casa
26,2009,Cusco,Cusco,26,Cliente de una trabajora sexual,Acuchillada,Casa
27,2009,Áncash,Recuay,22,Pareja o ex pareja,Baleada,Fuera de Casa
28,2009,La Libertad,Trujillo,25,Pareja o ex pareja,Baleada,Fuera de Casa
29,2009,Huancavelica,Acobamba,22,Pareja o ex pareja,Acuchillada,Fuera de Casa
30,2009,Lima,Lima,23,Pareja o ex pareja,Baleada,Casa
31,2009,San Martín,Rioja,76,Familia,Desbarrancada,Fuera de Casa
32,2009,Ica,Pisco,49,Pareja o ex pareja,Golpeada,Casa
33,2009,Lima,Lima,18,Pareja o ex pareja,Baleada,Casa
34,2009,Junín,Chupaca,39,Pareja o ex pareja,Golpeada,Fuera de Casa
35,2009,San Martín,San Martín,39,Pareja o ex pareja,Baleada,Fuera de Casa
36,2009,San Martín,Mariscal Cáceres,38,Pareja o ex pareja,Acuchillada,Fuera de Casa
37,2009,Áncash,Santa,30,Pareja o ex pareja,Acuchillada,Fuera de Casa
38,2009,Lima,Lima,16,Cliente de una trabajora sexual,Asfixiada o estrangulada,Fuera de Casa
39,2009,Lima,Lima,26,Pareja o ex pareja,Golpeada,Fuera de Casa
40,2009,Huánuco,Leoncio Prado,24,Pareja o ex pareja,Baleada,Casa
41,2009,Ica,Chincha,42,Pareja o ex pareja,Quemada,Casa
42,2009,Loreto,Maynas,1,Familia,Asfixiada o estrangulada,Casa
43,2009,Amazonas,Utcubamba,51,Pareja o ex pareja,Acuchillada,Fuera de Casa
44,2009,La Libertad,Pataz,2,Familia,Envenenada,Casa
45,2009,Cajamarca,San Pablo,17,Pareja o ex pareja,Envenenada,Fuera de Casa
46,2009,Lima,Lima,46,Pareja o ex pareja,Envenenada,Casa
47,2009,Ica,Ica,21,Pareja o ex pareja,Asfixiada o estrangulada,Casa
48,2009,Lambayeque,Chiclayo,35,Pareja o ex pareja,Acuchillada,Fuera de Casa
49,2009,Tacna,Tacna,79,Familia,Acuchillada,Casa
50,2009,Puno,Puno,16,Familia,Golpeada,Fuera de Casa
51,2009,Cajamarca,Cajabamba,20,Pareja o ex pareja,Golpeada,Fuera de Casa
52,2009,Lima,Lima,21,Pareja o ex pareja,Acuchillada,Fuera de Casa
53,2009,Lima,Lima,31,Pareja o ex pareja,Baleada,Fuera de Casa
54,2009,Junín,Huancayo,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
55,2009,Tacna,Tacna,24,Pareja o ex pareja,Asfixiada o estrangulada,Casa
56,2009,Cusco,Cusco,31,Pareja o ex pareja,Asfixiada o estrangulada,Casa
57,2009,Lima,Lima,39,Pareja o ex pareja,Baleada,Casa
58,2009,Junín,Huancayo,12,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
59,2009,Tacna,Tacna,30,Cliente de una trabajora sexual,Golpeada,Fuera de Casa
60,2009,Piura,Talara,26,Pareja o ex pareja,Envenenada,Casa
61,2009,Huancavelica,Tayacaja,32,Pareja o ex pareja,Golpeada,Casa
62,2009,Lima,Lima,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
63,2009,Huánuco,Ambo,2,Familia,Asfixiada o estrangulada,Fuera de Casa
64,2009,Junín,Huancayo,39,Conocido,Acuchillada,Fuera de Casa
65,2009,Junín,Chanchamayo,35,Pareja o ex pareja,Acuchillada,Casa
66,2009,Arequipa,Arequipa,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
67,2009,Loreto,Maynas,32,Pareja o ex pareja,Acuchillada,Casa
68,2009,Junín,Huancayo,45,Familia,Acuchillada,Fuera de Casa
69,2009,Junín,Huancayo,24,Pareja o ex pareja,Acuchillada,Casa
70,2009,Junín,Huancayo,17,Pareja o ex pareja,Baleada,Fuera de Casa
